WK_KCPDFirearmsQual | Proper grip techniques are circled in red ink. | Trains: Aiming
WK_RangeSafetyOfficerRef | Live-fire range commands and safety procedures. | Trains: Aiming
WK_DefensiveHandgunRef | Detailed sketches on 'stopping power' and center-mass hits. | Trains: Aiming
WK_SheriffQualLog | Pencil-marked scores and remediation notes for officers who flunked. | Trains: Aiming
WK_TacticalReloadRef | Speed, admin, and retention reload drill sequences. | Trains: Reloading
WK_MagazineDrillCard | Diagrams illustrating how to 'Tap, Rack, and Bang' to clear a jam. | Trains: Reloading
WK_ArmorersWeaponsRef | Function checks and magazine inspection by service-grade weapon. | Trains: Reloading
WK_PracticalShootingRef | Competition reload rules and start positions. | Trains: Reloading
WK_OSHALoggingRef | Federal logging safety: felling and escape routes. | Trains: Axe
WK_ArboristFieldGuide | Advanced geometry for Humboldt and open-face notch cuts. | Trains: Axe
WK_ForcibleEntryRef | Fire department door-breaching technique with axes. | Trains: Axe
WK_FirefighterHandToolSOP | Standard operating procedure for axes, halligan bars, and pike poles. | Trains: Axe
WK_BrushClearingRef | State parks machete technique and blade care. | Trains: Long Blade
WK_MacheteUseGuide | Illustrates the 'danger circle' and proper wrist-locking to prevent fatigue. | Trains: Long Blade
WK_ForestryContractorSOP | Guidelines for sharpening different zones of the blade for specific wood densities. | Trains: Long Blade
WK_KnifeMaintenanceLog | Daily honing schedule for maintaining a razor edge on prep blades. | Trains: Maintenance
WK_EdgeToolSharpeningRef | Sharpening angles and grit progression by tool type. | Trains: Maintenance
WK_HandToolConditionRef | Inspection and rust prevention for hand tools. | Trains: Maintenance
WK_ImpactWeaponMaintSOP | Checklist for inspecting the retention spring and tip integrity. | Trains: Maintenance
WK_WhetstoneSelectionRef | Stone grits and lubricants by tool category. | Trains: Maintenance
WK_MeatFabricationRef | USDA primal cut diagram with knife angles by species. | Trains: Short Blade
WK_NSFBladeSafetyRef | National Sanitation Foundation knife handling and sanitation rules. | Trains: Short Blade
WK_FishFabricationRef | Commercial filleting, skinning, and portioning reference. | Trains: Short Blade
WK_KCPDImpactWeaponsRef | Descriptions of department-approved grip techniques and defensive stances. | Trains: Short Blunt
WK_OSHAHandToolSafety | Guidelines for wrist-alignment and grip tension to prevent repetitive strain. | Trains: Short Blunt
