WK_KCPDFirearmsQual | 握持要领用红墨水圈出。 | Trains: 瞄准
WK_RangeSafetyOfficerRef | 实弹射击口令与靶场安全规程。 | Trains: 瞄准
WK_DefensiveHandgunRef | 详细绘制了制止力与质心命中示意图。 | Trains: 瞄准
WK_SheriffQualLog | 铅笔标注了考核成绩及不合格警员的补训说明。 | Trains: 瞄准
WK_TacticalReloadRef | 快速、行政及保留换弹的训练步骤。 | Trains: 装填
WK_MagazineDrillCard | 图解了排除卡壳的击、拉、射步骤。 | Trains: 装填
WK_ArmorersWeaponsRef | 按制式武器型号列出功能检查与弹匣检验程序。 | Trains: 装填
WK_PracticalShootingRef | 竞技换弹规则与起始姿态。 | Trains: 装填
WK_OSHALoggingRef | 联邦伐木安全规定：倒树与逃生路线。 | Trains: 斧头
WK_ArboristFieldGuide | 亨伯特缺口与开放缺口切割的高级几何原理。 | Trains: 斧头
WK_ForcibleEntryRef | 消防部门斧头破门技术。 | Trains: 斧头
WK_FirefighterHandToolSOP | 斧头、哈利根撬棍与钩杆的标准操作规程。 | Trains: 斧头
WK_BrushClearingRef | 州立公园大砍刀技术与刀刃养护。 | Trains: 长刀
WK_MacheteUseGuide | 图解了危险圈范围与防疲劳腕锁技术。 | Trains: 长刀
WK_ForestryContractorSOP | 针对不同木材密度磨砺刀刃各区域的操作指南。 | Trains: 长刀
WK_KnifeMaintenanceLog | 厨房刀具保持剃刀锋利的每日磨刀计划。 | Trains: 维护
WK_EdgeToolSharpeningRef | 按工具类型列出打磨角度与砂粒规格。 | Trains: 维护
WK_HandToolConditionRef | 手动工具检查与防锈处理。 | Trains: 维护
WK_ImpactWeaponMaintSOP | 保持弹片与端头完好性的检查清单。 | Trains: 维护
WK_WhetstoneSelectionRef | 按工具类别列出砂石粒度与润滑剂。 | Trains: 维护
WK_MeatFabricationRef | 附各物种刀角的USDA原始分割图。 | Trains: 短刀
WK_NSFBladeSafetyRef | 国家卫生基金会刀具操作与卫生规定。 | Trains: 短刀
