WK_KCPDFirearmsQual | KCPD巡逻枪械资格认证标准
WK_RangeSafetyOfficerRef | 靶场安全员现场参考手册
WK_DefensiveHandgunRef | 防卫手枪参考手册
WK_SheriffQualLog | 警长值勤武器资格认证记录
WK_TacticalReloadRef | 执法战术换弹规程
WK_MagazineDrillCard | 武器操作训练卡
WK_ArmorersWeaponsRef | 军械师武器操作参考手册
WK_PracticalShootingRef | 实战射击阶段规程
WK_OSHALoggingRef | OSHA伐木作业参考手册
WK_ArboristFieldGuide | 注册树艺师树木评估现场指南
WK_ForcibleEntryRef | NFPA 1强制破门作业参考手册
WK_FirefighterHandToolSOP | 消防员手持工具操作标准作业规程
WK_BrushClearingRef | 灌木清除作业参考手册
WK_MacheteUseGuide | 农用大砍刀安全使用指南
WK_ForestryContractorSOP | 林业承包商灌木清除标准作业规程
WK_KnifeMaintenanceLog | 商业厨房刀具保养记录
WK_EdgeToolSharpeningRef | 刃具打磨参考手册
WK_HandToolConditionRef | 手动工具状况与养护参考手册
WK_ImpactWeaponMaintSOP | 警察局冲击武器保养标准作业规程
WK_WhetstoneSelectionRef | 磨刀石与砂轮选用参考手册
WK_MeatFabricationRef | 肉类分割切割参考手册
WK_NSFBladeSafetyRef | NSF刀具安全与卫生参考手册
WK_FishFabricationRef | 鱼类加工现场参考手册
WK_KCPDImpactWeaponsRef | KCPD冲击武器参考手册
WK_OSHAHandToolSafety | OSHA手动工具安全参考手册
WK_FramingHammerCard | 建筑锤使用与安全卡
WK_PlumbingQuickClearRef | 管道快速疏通参考手册
WK_BaseballSwingRef | 运动挥击力学参考手册：棒球
WK_DemolitionHandToolRef | 拆除与破障手动工具参考手册
WK_GolfSwingRef | 高尔夫挥杆力学与球杆技术
WK_CrowbarApplicationsRef | 撬棍与撬具应用参考手册
WK_KDFWRPrimitiveWeapons | KDFWR原始武器狩猎法规
WK_JavelinCoachingRef | 田径教练参考手册：标枪
WK_AtlatlSpearRef | 投矛器与长矛制作现场参考手册
WK_StageCombatSpearRef | 舞台格斗长矛参考手册
WK_ASTMMaterialSpecRef | ASTM材料规格快速参考手册
WK_ForgeHeatTreatGuide | 锻焊与热处理现场指南
WK_IndustrialMetalworkRef | 工业金属加工流程参考手册
WK_BlacksmithGuildStandards | 铁匠行会技术标准
WK_LumberYardManual | 木材场安全手册
