WK_KCPDFirearmsQual | Техника хвата обведена красными чернилами. | Тренирует: Точность
WK_RangeSafetyOfficerRef | Команды на огневом рубеже и требования безопасности. | Тренирует: Точность
WK_DefensiveHandgunRef | Подробные схемы поражения центра масса и останавливающего действия. | Тренирует: Точность
WK_SheriffQualLog | Карандашные оценки и заметки об отработке промахов. | Тренирует: Точность
WK_TacticalReloadRef | Последовательность боевой, административной и удержательной перезарядки. | Тренирует: Перезарядка
WK_MagazineDrillCard | Схемы устранения задержки методом «Хлопок, передёрг, выстрел». | Тренирует: Перезарядка
WK_ArmorersWeaponsRef | Проверка функций и контроль магазинов по типу оружия. | Тренирует: Перезарядка
WK_PracticalShootingRef | Правила перезарядки и исходные положения на соревнованиях. | Тренирует: Перезарядка
WK_OSHALoggingRef | Федеральные нормы безопасности при лесозаготовке: валка и пути отхода. | Тренирует: Топоры
WK_ArboristFieldGuide | Геометрия пропилов Хамболдта и открытого замка при валке. | Тренирует: Топоры
WK_ForcibleEntryRef | Техника вскрытия дверей топором в пожарной охране. | Тренирует: Топоры
WK_FirefighterHandToolSOP | СОП по топорам, ломам Хэллигана и пожарным крюкам. | Тренирует: Топоры
WK_BrushClearingRef | Техника мачете и уход за клинком в государственных парках. | Тренирует: Длин. режущее
WK_MacheteUseGuide | Показывает «опасный круг» и правильную фиксацию запястья. | Тренирует: Длин. режущее
WK_ForestryContractorSOP | Заточка разных зон клинка под плотность древесины. | Тренирует: Длин. режущее
WK_KnifeMaintenanceLog | Ежедневный график заправки ножей для поддержания остроты. | Тренирует: Прочность
WK_EdgeToolSharpeningRef | Углы заточки и зернистость абразивов по типу инструмента. | Тренирует: Прочность
WK_HandToolConditionRef | Осмотр и защита ручного инструмента от ржавчины. | Тренирует: Прочность
WK_ImpactWeaponMaintSOP | Чек-лист проверки возвратной пружины и целостности наконечника. | Тренирует: Прочность
WK_WhetstoneSelectionRef | Зернистость камней и смазки по категории инструмента. | Тренирует: Прочность
WK_MeatFabricationRef | Схема первичных отрубов USDA с углами ножа по видам. | Тренирует: Короткий клинок
WK_NSFBladeSafetyRef | Правила обращения с ножом и санитарии по стандарту NSF. | Тренирует: Короткий клинок
WK_FishFabricationRef | Промышленное филетирование, снятие шкуры и нарезка порций. | Тренирует: Короткий клинок
WK_KCPDImpactWeaponsRef | Описание одобренных хватов и защитных стоек. | Тренирует: Кор. тупое
WK_OSHAHandToolSafety | Нормы выравнивания запястья и силы хвата для защиты от перегрузок. | Тренирует: Кор. тупое
WK_FramingHammerCard | Положение хвата и техника забивания гвоздей для каркасников. | Тренирует: Кор. тупое
WK_PlumbingQuickClearRef | Техника работы вантузом по типу сантехприбора и порядок действий. | Тренирует: Кор. тупое
